movie_name,movie_type,movie_content
老鷹之手,紀錄片,"被歷史遺忘的價值和夢想！都市人的漫漫回家路
本片由導演賴麗君的鄉愁揭開序幕，離鄉多年，北漂發展的她找來前作【神戲】好搭檔彭家如導演合作，一起將鏡頭對準家鄉牛斗山一片片蔥綠的藕田，以及當地辛勤勞作的農人。導演賴麗君表示，自己2016年第一部紀錄片作品【神戲】下鄉巡演期間，有一站來到了牛斗山，當時鄉民們因為得知導演是牛斗山人，便準備了一桌蓮藕大餐款待。席間她注意到農民們的手，由於長年以手代耙挖出深埋泥下3、40公分的蓮藕，導致手指關節變形，像極老鷹的爪子而深受震撼，便決定以此作為下一部紀錄片的主題。對於這樣的一雙手，當地受訪農民在片中憨厚地表示：「這是我們的怪手啦，真歹看，去給人請時我都不敢伸手夾菜，怕見笑。」然而看在導演賴麗君的眼中，這卻是在地農人勤懇、踏實生活的證明。本片監製及攝影師彭家如也坦言，自己本來沒有意願再拍攝農業題材作品，之所以答應合作，也是因為看到賴導拍下一雙雙藕農巨大的手，讓他深受感動，決定加入拍攝。片中以大量特寫鏡頭記錄藕農們的「老鷹手」，再搭配運用高空攝影捕捉到的田園光影變化，營造出與都市截然不同的魔幻氛圍。本片配樂更找來曾拿下多座金曲獎、金馬獎的知名音樂人林強操刀製作，為電影打造出一首首純粹卻飽含生命力的配樂。
 
歷時四年製作，深入刻劃老、中、青三代藕農的人生風景
全片以老、中、青三代藕農的故事交錯進行，同時也彼此對話。年逾七十仍堅持勞作的老農、懷抱讓牛斗山蓮藕再次出名的阿嬤、以種蓮藕創業成功的青年、辛勤勞作卻仍不忘愛美的藕農妻子、二十出頭便投入挖蓮藕的新臺灣之子。從老年人的堅持與守護、中生代的崛起與創新，再到新一代的反思與困惑，本片詳實記錄了他們一起勞作、一起談笑、一起合作的身影。看天吃飯的他們，歷經了農村的轉型、大環境的巨變，以及種種天災考驗，在逆境中，他們各自找出了自己的應對之道，展現出堅韌的生命力。他們樂天、樸實的對話，以及三不五時的鬥嘴，在導演與攝影師近距離的拍攝下，讓觀眾更深刻感受牛斗山這個鄉鎮的純樸與美好。然而，本片除了帶出藕農們的生命故事，也對地方的未來提出了叩問。陳澄波文化基金會董事，同時也是本片監製的賴萬鎮先生表示，台灣三分之一蓮藕都出自牛斗山，然而牛斗山蓮藕的知名度卻遠不及台南白河，甚至連許多民雄當地市集菜販也不清楚。面對農村人口老化、蓮藕需求的減少、外銷更因價格競爭優勢喪失而受挫，牛斗山的未來究竟該何去何從？因此讓世人正視這群不擅自我推銷的農民，也成了本片的重要任務。"
瀑布,劇情,《瀑布》的故事靈感來自導演鍾孟宏友人發生的真實故事，以電影《瀑布》中層層暗喻與不停撞擊兩個女主角的故事為設計概念主軸，就有如海報中的草叢，緩緩持續著圍繞這著母女，像是保護他們又像是被團團困住。而她們背後的藍色幃幕象徵未完工且令人期待的未來，藍色的基底又像是層層水幕，大量的水花如瀑布般向下墜落。
金派特務,"動作
喜劇","★ 笑爆韓國票房冠軍！繼《雞不可失》《特務搞飛機》後，今年最狂動作喜劇！
★《特務搞飛機》李先彬Ｘ《婚禮的那一天》金英光，擺脫偶包合力搞笑無尺度！
★ 當「菜鳥特務」遇上「雷包偵探」，兩個超ㄎㄧㄤ特務又將會鬧出什麼蠢事？
 
最不可能的任務，就交給最母湯的特務！
根據線報，大量走私槍枝即將流入韓國，菜鳥特務流茶熙（李先彬 飾演）被指派前往韓國進行機密調查，為確保任務順利，進而尋求國情局的「優秀」臥底協助，卻陰錯陽差遇上笨手笨腳又貪財的私家偵探禹手罕（金英光 飾演）。兩人聯手調查，不僅零默契且漏洞百出，還讓相關人證都莫名「被消失」，甚至被當成頭號嫌疑犯！究竟這兩個超「母湯」特務，能不能保全性命，並順利完成任務呢？"
我的英雄學院劇場版：世界英雄任務,"動畫
冒險","Humarise的領導人，弗雷克特丹恩向全世界發佈了他的犯罪聲明─「時限是從現在算起的兩小時後…」
 
各國因此驚慌不已，距離世界崩壞的倒數正一分一秒逼近。
英雄隊在危機一髮之際，仍不顧危險、全力回收設置在各地的炸彈──面對《我英》史上最大危機，世界的、以及英雄們的未來，就託付在「他們」的身上了。
 
《我英》史上最大危機，恐怖事件影響全球，英雄們必須在2小時內解除全球危機！
上映六週，雙周票房冠軍，全日本觀影人數突破213萬人，票房突破29億日圓！《我英》系列最高票房鉅作。
2014年，自堀越耕平首次在「週刊少年JUMP」（集英社出版）開始連載至今，系列作總銷量全球超過5000萬本、擁有壓倒性的超高人氣作品：「我的英雄學院」，通稱「我英」。故事背景發生在全世界總人口數約八成的人都具備超能力：「個性」的世界裡。應對各種緊急意外事故或是天然災害，並保護人們不被濫用「個性」的犯罪者：「敵人」所傷害，維持社會秩序應運而生的專門職業：「英雄」，成為許多年輕人的夢想職業；打從一出生就是「無個性」的主角：綠谷出久(笨久)以成為頂天立地最棒的英雄為目標，並在英雄輩出的名門高中逐漸成長的過程帶給許多人感動與共鳴、同時得到熱烈迴響，這位週刊少年JUMP出來的英雄更在日本國內外打造出難以被撼動的金字塔。系列電視動畫於2016年開始播放，並於今年(2021年)3月27日(六)開始播放第五季！而在電影圈，於2018年推出劇場版第一部，隔年19年推出第二部，兩者皆創下了超出17億日圓的亮眼賣座成績。不僅僅是在日本國內，「我英」在北美洲、中美洲、歐洲以及亞洲也廣受歡迎，如今已經是紅遍世界各國的代表IP。全球粉絲引頸期盼的劇場版第三集將以超越前作的PLUS ULTRA，不斷向前的姿態邁進，躍上今年的大螢幕！
 
英雄群起挺身而出！面對《我英》史上最大的危機！
《我的英雄學院劇場版；世界英雄任務》是描繪發生在冬季英雄實習時的劇場版原創故事。神秘集團：「Humarise」計畫要殲滅世界上所有擁有「個性」的人類，為了拯救人們，全世界各地的英雄集結起來、組成了「世界英雄選拔隊」。以在進行實習的綠谷、爆豪跟轟為首，雄英高中英雄科的學生們也加入成為隊員，跟著職業英雄們一起面對這場世界性的重大危機。
隨著人類滅亡的倒數時間一步步逼近，他們能否守護這個世界的未來…？
 
延續前作，本集是原作者：堀越耕平擔任總監修與角色原案設計的超熱血作品。
《我英》史上最大規模的作品，將會在今年夏天撼動觀眾們的心。"
廢棄之城,動畫,《廢棄之城》由易智言執導、編劇，李烈監製，耗費十年、投入上億打造的台灣原創動畫，邀請張孝全、桂綸鎂、黃河、高捷擔任配音。導演易智言與監製李烈觀察到台灣動畫不擅長寫長片故事，因此希望讓動畫與電影這兩個涇渭分明的圈子，人才有機會拉在一起。導演易智言腦洞大開、火力全開，不只是物在擬人，是從他們身上找到了活的表情，少了人類的電影竟比什麼都有人性，更多生氣，幻化想像力的百鬼出巡，就此踏出台灣動畫一條全新的路。
天崩颶裂,"動作
劇情
懸疑/驚悚","《天劫倒數》＋《玩命颶風》，今年唯一天災巨片
《天崩颶裂》是由《聖母峰》（Everest）、《怒火地平線》（Deepwater Horizon）特效團隊打造的災難巨片。全片透過龍捲風來襲時，通常只有十三分鐘時間可以避難的主題，讓一個平凡小鎮上的四個家庭，在這場災難中產生交集。原本尋常的一天，卻因為災難性的驟變，讓小鎮於災後必須重建；人生在轉瞬之間，也發生翻天覆地的變化。
 
故事發想暨製片人崔維斯法科姆（Travis Farncombe）表示：「電影不僅關注人們如何在天災的影響下倖存，更將表現人們如何在日常生活中求得生存。」這也讓電影除了震撼人心的災難場面之外，同時幅射出種族、墮胎、身障、同志與排外主義等全球議題，讓故事充滿可看性。崔維斯繼續表示：「我們賦予每位角色屬於自己的任務及挑戰，我們討論著他們想要什麼、需要什麼、目標是什麼，為什麼他們會聽從或不聽從、聽到或沒聽到暴風警告，以及他們的行為舉止是否恰當。」導演暨編劇、同時也是本片監製的琳賽葛斯林（Lindsay Gossling）補充：「我想將風暴微妙的構造與人際關係的複雜性相提並論，彰顯大自然如何不分青紅皂白、全面性的反撲。我想創造一個代表全球問題縮影的世界，並讓大自然摧毀那個世界，讓觀眾去思考重建是否將會更好。不同於風暴的平靜，片中人物也將在生活高潮的轉折點被彰顯出來。」
 
值得一提的是，崔維斯法科姆本身就是全球知名的「風暴追逐者」。將風暴視為一生熱情的他表示：「我在年輕時，和家人在農舍小屋中經歷一場龍捲風，湖對面的幾棟小屋和拖車停車場，都因此被摧毀。那次事件，激起我對惡劣氣候的好奇心，進而想瞭解更多。」由他挑戰大自然與天災的經歷出發，進而述說本片撼動人心的故事，更是讓本片具備十足說服力。"
天兵阿榮,"動畫
冒險","《天兵阿榮》故事敘述在不遠的將來，人工智慧機器人的魅力席捲全球，成為未來世界最受歡迎的產品。在科技世代下長大的孩子，每個人都渴望擁有一個機器人作伴，主角巴尼也不例外，他希望跟別的孩子一樣，擁有一台酷炫的機器人，終於在一場因緣際會下他和機器人阿榮相遇了，然而阿榮卻有些地方不太對勁… 
 
《天兵阿榮》是一個關於友誼的故事，藉由男孩巴尼和機器人阿榮的冒險，探索現今世代下友情與成長的意義。"
假面飯店2：假面之夜,劇情,"電影《假面飯店》最新續作《假面飯店2：假面之夜》是根據日本推理小說大師東野圭吾累計發行量超過470萬冊的《假面》系列小說第三部改編。
 
《假面飯店2：假面之夜》以日本跨年夜的化裝舞會為舞台，故事背景同樣圍繞在「東京柯迪希亞飯店」。警視廳收到了一封匿名信件，稱殺人犯將會現身頂級飯店於跨年夜舉辦的「假面之夜」舞會。曾在飯店內臥底的刑警新田浩介（木村拓哉 飾）再次披上飯店制服，搭檔飯店員工山岸尚美（長澤雅美 飾）連手捉拿犯人，他們要從五百位戴著假面的與會者中找出兇手。
 
首集的老班底，包括小日向文世、泉澤佑希、渡部篤郎等演員均會回歸演出，導演依然是由首集導演鈴木雅之繼續擔任，此次宣佈的追加演員有中村杏、田中美奈實、石黑賢、澤村一樹、勝村政信、木村佳乃、凰稀要、麻生久美子、高岡早紀、博多華丸十位，他們在片中飾演戴假面與會的嫌疑人。"
心靈遊戲,動畫,"★《四疊半神話大系》、《春宵苦短，少女前進吧！》、《乘浪之約》、《別對映像研出手！》、《犬王》鬼才動畫導演湯淺政明一鳴驚人首部作。
★2004日本文化廳多媒體藝術祭年度動畫大獎、每日映畫年度動畫大獎、加拿大奇幻電影節最佳影片、最佳導演等四項大獎。
★《惡童當街》、《海獸之子》、《煙囪小鎮的普佩》動畫製作公司STUDIO 4℃傾力打造，迎接今秋最腦洞大開的愛情旅程。
 
一個尋常不過的夜晚，老天爺讓二十多歲的廢柴漫畫家阿西在電車上遇到中學時候的夢中情人小妙，在阿西送小妙回家途中，意外得知他的夢中情人竟然已經有婚約。在阿西傷心欲絕之際，與此同時跟小妙有牽扯的黑道份子追上他們兩人，不僅將小妙的未婚夫打了一頓，並且將一旁本想英雄救美的阿西，一槍讓他上了天堂。
 
命不該絕的阿西在天堂，遇到了一群奇怪的上帝和神仙們，他們指示著阿西如果度過層層關卡就能夠回到人間，在抱持著再度追求小妙的機會，以及讓夢中情人脫離黑道魔手之下，阿西決定放手一搏，來一場傻瓜為愛向前衝的奇幻旅程。"
怒火,"劇情
犯罪",動作鉅獻《怒火》由陳木勝執導及監製，甄子丹監製及動作導演，甄子丹、謝霆鋒、秦嵐領銜主演，是2021年最令人期待的華語超級動作電影。殿堂級動作大導陳木勝最矚目的終極之作，再加上宇宙最強甄子丹式爆炸型的個人風格動作設計，他與謝霆鋒在片中的世紀對決，備受華人戲迷關注。
蜜月夜不眠,劇情,"幸福快樂的生活，直到一封來自前女友的信…
新婚之夜，新娘艾琳諾和新郎諾姆在蜜月套房里爭吵，意外發現新郎的前女友偷偷送了一枚戒指給新郎，新娘堅持馬上把戒指還給前女友，兩人在耶路撒冷的街道上展開了一段超鬧的奇幻之旅。"
猛毒2：血蜘蛛,"動作
科幻",2018年《猛毒》推出後全球累積票房就突破8.5億，創下該年度全球票房第 7 名的佳績。睽違三年，《猛毒2：血蜘蛛》將由安迪瑟克斯執導，除了湯姆哈迪強勢回歸，上一集《猛毒》片尾彩蛋出現的神祕殺人魔克萊圖斯卡薩迪將在續集中掀起腥風血雨，讓觀眾在大銀幕首次見到「蜘蛛人宇宙」大魔王「血蜘蛛」殘暴真面目！
四個好日子,"溫馨/家庭
劇情","碰！碰！碰！！！門外傳來急促的敲門聲，黛比（葛倫克蘿絲 飾）開了門，眼前是那個她極力疏遠吸毒成癮的女兒莫莉（蜜拉庫妮絲 飾）。
 
這十多年來莫莉因吸毒所闖的禍早已經深深傷透她的心，過往的經驗告訴黛比這或許又是另一場騙局，但這次莫莉看似洗心革面立志戒毒，讓黛比決定再陪她努力最後一次，挽救心愛的女兒，莫莉這次能成功擺脫催毀了她一生的可怕毒品嗎？"
龍與雀斑公主,動畫,"★ 蟬聯3週日本票房冠軍，票房突破58億
★ 第74屆坎城影展「坎城首映」單元正式入選
★ 全球首映轟動坎城，全場起立鼓掌14分鐘！創坎城影展史上第7長紀錄！
★ 「新世代日本動畫大師」細田守2021年最新力作
★ 迪士尼《冰雪奇緣》動畫師Jin Kim跨國打造歌姬「貝兒」
★ 細田守繼《夏日大作戰》睽違10年又一網路世界題材作品
★ 你是誰？妳又是誰？另一個自己、另一個現實。
★ 獻給“活在”新時代的所有人們—
 
自幼因意外失去母親的17歲女高中生小鈴，與父親兩人同住在人口不斷外移的高知小農村。最喜歡和母親一起唱歌的小鈴，母親死後便再也無法開口唱歌，在現實世界中甚至將自己的內心封閉起來。某日，小鈴化名「貝兒」來到全球超過50億使用者的虛擬世界「U」，貝兒在虛擬世界能自然開口唱歌，並發表自己創作的歌曲，更讓她成為世界關注的焦點，此時一個有著龍姿態的神祕存在突然出現在小鈴面前……。"
007生死交戰,"動作
冒險
懸疑/驚悚","一向被視為年度大片的007系列電影即將推出第25部，丹尼爾克雷格再度飾演所向披靡，家喻戶曉的英國情報員詹姆斯龐德，延續上一集的故事發展，M夫人因公殉職，由雷夫范恩斯飾演新任的軍情六處長官M先生，他也是龐德的頂頭上司，班維蕭則飾演角色討喜幽默的裝備武器專家Q先生，而最令人注目的龐德女郎一角，將由法國女星蕾雅瑟杜再次詮釋，這也是除了第一代龐德女郎尤妮絲蓋森(Eunice Gayson)之外，打破過去007電影57年的慣例，成為史上第二位重複登場的龐德女郎；另一位全新龐德女郎則是曾經演出《銀翼殺手𝟐𝟎𝟒𝟗 》的古巴裔新生代女神安娜德哈瑪斯。此外，今年4月底才正式公布，這一集新的反派角色將由奧斯卡金像獎影帝雷米馬力克主演，他在波希米亞狂想曲的亮眼表現，勢必將為這部片注入全新的戲劇張力。
 
在《007生死交戰》中，情報員詹姆斯龐德退役後，在牙買加享受著平靜的生活。 
 
但當中央情報局的老朋友菲力克斯雷特出現請他協助時，這短暫的平靜也隨之結束。他的任務本是去營救一個被綁架的科學家，卻發現一個神祕的新型態科技犯罪組織，也讓自己身陷危險之中。"
疾凍救援,動作,"★ 今年暑假超級災難動作強檔！
★《即刻救援》億萬巨星連恩尼遜年度鉅獻！
★ 耗資4000萬美金拍攝、加拿大冰路實地取景，享受冰上狂飆刺激快感 ！
★《世界末日》《空中監獄》《終極警探3》編劇強納森漢斯林執導最新力作！
 
300英哩冰封路 30小時危機倒數 唯一存活機會！
 
在加拿大北部一處偏僻的鑽石礦坑發生重大坍塌意外，一群礦工被埋在坑道內，僅剩30小時的氧氣可以存活。駕駛經驗豐富的巨型卡車駕駛（連恩尼遜飾）、與天才機械師弟弟葛帝(馬克斯湯瑪斯飾)組成緊急救難隊，靠著巨型卡車橫越300英哩結冰湖面構成「冰路」，救出被困住的26名礦工。這群緊急救難隊成員不但要在逐漸融化的「冰路」搏命飆速、還要面對即將來襲的超大風暴，但他們真正的威脅卻是過去從未遇過的恐怖危機...原來礦坑企業公司為了隱藏爆炸意外主因被揭發，雇用大批殺手阻撓救難隊員行進，一場驚天動地的救難行動在冰天雪地中就此展開！"
高玩殺手,"動作
犯罪","★ 《迴路追殺令》導演 喬卡納漢 最新力作
★ 這次不救了！傑哈巴特勒 化身超危險殺手 天涯海角幹掉你！ 
★《天劫倒數》傑哈巴特勒　《美國隊長3：英雄內戰》法蘭克葛里洛
★《黑豹》亞歷克西斯羅德爾 大場面動作對決 爽度爆表刺激腎上腺素！
★ 警局變戰場！騙子VS殺手 各自放大絕 火拼大亂鬥！
★ 聰明菜鳥女警X亡命狡猾騙子X致命神經殺手 誰才是最後的贏家？
 
惡名昭彰的騙子泰迪(法蘭克葛里洛 飾)為躲避殺手鮑勃(傑哈巴特勒 飾)的追殺，刻意讓菜鳥女警(亞歷克西斯羅德爾 飾)逮捕並關進警局的監獄中。鮑勃殺來警局，決定跑到天涯海角也要幹掉他，一場徘徊在騙子與殺手間的火爆對決就在警局展開…"
金錢帝國：追虎擒龍,動作,"★四大影帝、巔鋒對決。古天樂、梁家輝、吳鎮宇、林家棟大飆演技，詮飾70年代香港警察貪污帝國興衰
★超豪華陣容，展現硬派演技，塑造善惡對峙的時代梟雄，震撼呈現香港歷史上最驚心的貪污內幕
 
1973年，香港警察與黑道勾結，在統制者英國人指使下貪污巨利，荼毒市民，已是見怪不怪的常態。
 
港督終於決定成立廉政公署，兩位檢察官為黑白雙煞陳克 （古天樂 飾）和白松安（林家棟 飾）組成第一批廉政公署調查員，調查權傾黑白兩道的總華探長徐樂（吳鎮宇 飾）及黑道霸主跛豪（梁家輝 飾），嚴厲打擊香港的地下規則和貪污的大老虎，兩人聯手出擊，出現了打貪成效，但也因徐樂與跛豪決定合作對抗廉政公署，更有不少廉署成員相繼遇害，但陳克不放棄信念，一場正義與邪惡的爭鬥，從此拉開了帷幕。"
蠟筆小新：謎案！天下春日部學院的怪奇事件,"動畫
懸疑/驚悚","★2021推薦唯一青春爆笑推理動畫電影。
★《劇場版蠟筆小新》首次推出懸疑推理故事。
★睽違三年再度以「春日部防衛隊」為故事主角的劇場版動畫。
★日文版聲優特別邀請仲里依紗、不破醬、巧克力星球參與配音演出。
 
小新一行人在風間的邀請下，來到了住宿制的菁英學校「天下春日部學院」進行為期一週的體驗入學，小新一行人則對住宿生活懷著期待的心情。
 
而風間打算在體驗入學期間拿下好成績，並正式就讀。可是，小新一直扯他的後腿，兩人大吵一架後，風間憤而跑出宿舍。小新一行人在外出尋找風間時，在崩塌的鐘樓中找到了倒臥其中的風間！而且他的屁股上有個詭異的咬痕…。
 
隔天早上，風間醒來後居然變成一個超級大笨蛋！原來在這間學院中，頻繁發生被神秘「咬屁鬼」咬過屁股的學生變成幼稚小鬼的奇妙事件！為了解開真相，小新一行人結成了「春日部偵探俱樂部」。小新一行人的奇妙推理會發生什麼事呢？"
密弒遊戲2：勝者危亡,"動作
恐怖
懸疑/驚悚",為了將害人致死的「世界頂尖密室逃脫」主辦方繩之以法，兩位遊戲生存者柔伊（泰勒羅素飾）和班（羅根米勒飾）決定聯手到紐約找出背後兇手。但兩人卻與其他四位陌生人在紐約地鐵上遇到大災難，並意外發現他們不僅捲入更危險致命的密室遊戲，且所有人之前都是「世界頂尖密室逃脫」遊戲的生存者。在不解迷就等死的情況下，這六人將如何協力找生路，避免成為下一批遊戲犧牲者？
汪汪隊立大功電影版,"動畫
冒險","《汪汪隊立大功電影版》汪汪隊出發救援！
當汪汪隊的死對頭韓丁納當上鄰近的冒險市市長，並且開始大搞破壞的時候，萊德和大家最喜愛的狗狗英雄(阿奇、毛毛、天天、路馬、灰灰、小礫)，就蓄勢待發、準備就緒，直接面對這個艱難的挑戰。雖然有一隻狗狗必須在冒險市面對他的過去，但是汪汪隊也得到一名新盟友的幫助，那是一隻叫莉柏蒂的臘腸犬。汪汪隊靠著全新的道具和裝備，為了拯救冒險市的市民，同心協力、冒險犯難！加入這部全新驚險刺激的首部大銀幕冒險動畫長片的是原創動畫影集的配音演員陣容，以及全新的配音演員，包括伊恩阿米塔格、瑪賽馬汀、朗帕多、雅拉沙希迪、金卡戴珊威斯特、朴藍道、戴克斯薛普，以及泰勒派瑞與吉米基墨並且特別介紹威爾布里斯賓。"
親情解鎖,劇情,"約翰（維果莫天森 飾）與同志伴侶、女兒同住在加州，過著簡單平凡的生活。然而，隨著老爸威利斯（蘭斯漢里克森 飾）年紀漸長、得到失憶症，只好從農村搬來與他們同住。面對年邁、漸漸失能的父親，約翰總會想起他過去對母親的種種背叛，以及從小對他強行加諸的「男子漢」訓練，因此遲遲難以敞開心房。同時，身為傳統大男人的威利斯也一如以往地恐同，甚至不時對約翰的丈夫惡言相向，讓約翰的耐心幾乎消磨殆盡，連旁觀的妹妹莎拉（蘿拉琳妮 飾）也束手無策。眼見生活中的憤怒和衝突愈演愈烈，過往塵封的回憶也不時來敲門，提醒著往日的甜蜜也好、痛苦也罷，最愛的人總是傷害彼此最深，這對父子的關係是否還有轉圜的餘地？
 
以《魔戒》系列、《幸福綠皮書》為人所知的維果莫天森推出導演處女作《親情解鎖》。他自己也在片中飾演主角約翰，一名擁有美滿同志家庭的男同志。對準世代與城鄉價值觀的差異，找來老牌影星蘭斯漢里克森演繹自己的父親，帶來一段讓人感到心碎，卻極度寫實的家族物語。
 
【關於電影】
 
維果莫天森導演處女作登大銀幕！親自下場飾演同志兒子
本片為以《魔戒》系列、《幸福綠皮書》為人所知的維果莫天森的導演處女作。在接連以《神奇大隊長》、《幸福綠皮書》角逐奧斯卡影帝後，演而優則導的維果莫天森自編自導推出首部劇情長片。他在拍攝《幸福綠皮書》時，對於當時同志族群的處境深感震驚，於是這次親自在《親情解鎖》飾演主角約翰，一名擁有良好職業、美滿同志家庭，卻與父親有著難解心結的男同志。全片以插敘的方式，讓時空穿梭於現在與過去之間，帶領觀眾一窺這對父子多年的相愛、相憎。維果莫天森細膩地以一個嘴角的抽動、一個眼神的游移，帶出對父親的不滿、不耐，以及無法割捨。起初，在電影消息一出時，維果也面臨許多對於身為異性戀的他，將飾演同性戀角色的疑問，對此維果莫天森也霸氣回應：「身為演員或導演，我從沒想過要去探究別人的性向，我也不會去假定一個同性戀演員只能演出同性戀的角色，反之亦然。我決定自己來出演約翰這個角色，單純是因為我有足夠的演出經驗，而且這樣我也可以省下一份片酬。」《親情解鎖》除了由維果莫天森本人同時出任製作人外，製作團隊也可說是相當華麗，集結了《女巫》和《為愛起程》的製片共同參與。本片也於2020年先後在日舞影展、坎城影展、多倫多國際影展首映，獲得各界好評不斷，更入圍多項國際影展競賽獎項，最終獲得聖賽巴斯提安國際影展最佳影片。
 
以溫柔視角對準世代與城鄉價值觀差異，最動人的家族物語
維果莫天森表示，這個故事的靈感來自於自己參加完母親的葬禮，在回程的飛機上輾轉反側時，斷斷續續回想起自己與母親和其他家人在人生各階段的點點滴滴，並順手拿起筆記錄下來，「然而在書寫過程中，我卻發現記憶是零碎，甚至並非全然正確、可靠的。這讓我重新省思，所謂真實的回憶究竟是什麼？」之後，維果慢慢整理了自身的回憶，交雜虛構的故事，編寫出《親情解鎖》的劇本。除了圍繞父與子之間多年難解的心結，也道盡世代與城鄉對於性別、性向，乃至整體生存價值觀的差異，進而在各種激烈爭執後的悵然中，尋得一絲互相理解的可能性。卡司部分，維果莫天森找來以《魔鬼終結者》、《異形》系列深植人心的老牌影星蘭斯漢里克森演繹自己的父親威利斯。蘭斯漢里克森精準演活了這名不通情理、保守固執，甚至恐同、總是對身邊人口出惡言的老頑童，以及他在一切惡質態度背後的脆弱與無助。此外，蘭斯也相當傳神地揣摩了失智者的精神與外在行為，精湛演出讓他獲得各界高度好評，入圍多項國際影展演技獎項。此外，本片也找來金球獎影后蘿拉琳妮、華裔演員陳泰瑞、加拿大女星漢娜葛羅斯等人共同演出，共譜一段優美而寫實的家族物語。"
算牌手,劇情,"來自導演兼編劇保羅許瑞德，帶來關於「威廉泰爾」的一生故事。威廉，一位前士兵，專門嚴刑拷問那些伊拉克的犯人。他在監獄度過一段日子，結束之後他轉行成為一位職業賭徒，儘管他在後續的生活中不斷為自己的過去尋找出路，過去的罪孽卻如影隨形。要跟以往的自己和好，有時候需要一點暴力。 
 
電影監製是大名鼎鼎的馬丁史柯西斯，保羅許瑞德曾在《計程車司機》(1976)與他合作過。《算牌手》捕捉到了這位導演的個人風格，提到這部電影，導演許瑞德表示：「在過去的歲月裡，我找到了屬於自己的『類型片』，我發現這些類型片多半圍繞著一位男人—一位戴著面具的男人的故事，這個面具可以是他的工作、職業。」導演繼續說道，「他也許是一位計程車司機，一位毒販，一個舞男，甚至一個牧師。這個角色多半會圍繞著一個不小的問題，無論是對內或對外。在《算牌手》裡面，威廉泰爾就是這樣自己坐在房間內，戴上了那個面具—職業賭徒，而這位職業賭徒恰好是一個前美國士兵。威廉在這個兩個世界之間掙扎，尋找脫逃的辦法。」 "
沙丘,"動作
科幻
劇情","《沙丘》講述一個神祕又性格強烈的英雄之心路歷程，本片講述保羅亞崔迪的故事，他是一個聰明又富有天賦的年輕人，肩負超越自己理解的偉大天命，且必須遠行至宇宙中最危險的行星，以確保他家人及族人未來的延續。敵對勢力為搶奪唯有此行星才出產的珍貴資源大打出手，而這也是人類最珍視的資源，一種能解鎖人類偉大潛能的物質，唯有能戰勝自己恐懼的人才能存活。
 
本片主要演員包括曾被奧斯卡提名的提摩西夏勒梅（《以你的名字呼喚我》、《她們》）、蕾貝卡弗格森（《安眠醫生》、《不可能的任務：全面瓦解》）、奧斯卡伊薩克（《星際大戰》系列電影）、曾被奧斯卡提名的喬許布洛林（《自由大道》、《復仇者聯盟：無限之戰》）、史戴倫史柯斯嘉（HBO的《核爆家園》、《復仇者聯盟2：奧創紀元》）、戴夫巴帝斯塔（《星際異攻隊》系列、《復仇者聯盟：終局之戰》）、史蒂芬麥金利亨德森（《心靈圍籬》、《淑女鳥》）、千黛亞（《蜘蛛人：返校日》、HBO的《亢奮》）、大衛達斯馬齊連（《銀翼殺手2049》、《黑暗騎士》）、張震（《龍先生》、《臥虎藏龍》）、莎朗鄧肯布魯斯特（《星際大戰外傳：俠盜一號》、Netflix的《性愛自修室》），以及曾被奧斯卡提名的夏綠蒂蘭普琳（《45年》、《刺客教條》），傑森摩莫亞（《水行俠》、HBO的《權力遊戲》），及奧斯卡得主哈維爾巴登（《險路勿近》、《007：空降危機》）。"
